name,category,latitude,longitude,wiki_title,monthly_views
Park Ridge Historical Society,Museums & Galleries,42.0211585,-87.8291518,,
Robbins Illinois History Museum,Museums & Galleries,41.6406873,-87.710773,,
Trailside Museum of Natural History,Zoos & Family,41.8930238,-87.8262195,,
Alsdorf Gallaries,Museums & Galleries,41.8795829,-87.6226844,,
Special Exibitions,Museums & Galleries,41.8801143,-87.6223172,,
Contemporary,Museums & Galleries,41.8804799,-87.6217021,,
Film and Media,Museums & Galleries,41.879959,-87.6220275,,
Sculpture Court,Museums & Galleries,41.8791104,-87.6221463,,
Play Street Meuseum,Museums & Galleries,41.8693291,-87.6322904,,
PGN Fun Village,Zoos & Family,41.7166141,-87.8216148,,
Hamill Family Wild Encounters,Zoos & Family,41.8315867,-87.8308806,,
Hamill Family Play Zoo,Zoos & Family,41.831592,-87.8325626,,
"Arts of the Greek, Roman, Byzantine Worlds",Museums & Galleries,41.8795961,-87.6218547,,
